제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
후회합니다, 1977년 11월 5일 ~ 1978년 4월 9일, 45부작, 텔레비전 드라마, 문화방송,, 김수현 (작가)," 김혜자, 박근형, 김용림  외",1977-11-05 00:00:00
고궁, 1991년 3월 4일 ~ 1991년 3월 5일, 2부작, 텔레비전 드라마, 문화방송, , 윤대성(오사카성) / 이상화(경복궁) ," 맹상훈, 홍진희, 이형준, 여운계 외",1991-03-04 00:00:00
폼나게살거야, 2011년 9월 17일 ~ 2012년 3월 11일, 51부작," 텔레비전 드라마, 연속극 드라마 음악 드라마 음악 드라마 음악 드라마 음악 드라마 음악", SBS TV(지상파), 삼화네트웍스, 문영남," 이효춘, 노주현, 박정수 (배우), 손현주 외",2011-09-17 00:00:00
내안의천사, 1997년 1월 6일 ~ 1997년 2월 25일, 16부작, 드라마, KBS 2TV, , 오수연," 정찬 (배우), 정성환, 권오중, 김지수 (1972년)",1997-01-06 00:00:00
예감, 1997년 9월 29일 ~ 1997년 11월 25일, 16부작," 드라마, 멜로", MBC TV,, 김진숙," 이혜영 (1971년), 감우성, 손지창, 김윤진 외
}}
《예감》은 1997년 9월 29일부터 1997년 11월 25일까지 방영된 문화방송 월화드라마이다.

 등장 인물 
 주요 인물 
 이혜영 (1971년) : 김유림 역
 감우성 : 이준섭 역
 손지창 : 최경민 역
 김윤진 : 장세영 역

 그 외 인물 
 신구 (배우) : 유림의 아버지 역
 이순재
 박영규 (배우) : 오 전무 역
 김기현 (성우) : 박 사장 역
 정호근 : 조 이사 역
 장서희 : 소영 역
 박웅
 이경심
 윤예희
 양택조
 박상조

 결방 사유 
 1997년 11월 10일 : 특선영화 《델마와 루이스》 편성으로 인해 결방
 1997년 11월 11일 : 특선영화 《마지막 보이스카웃》 편성으로 인해 결방

 참고 사항 
 이혜영 (1971년)이 분한 김유림 역은 당초 김희선이 낙점됐으나 연기력에서 불가 판정을 받아 탈락한 바 있다.{{뉴스 인용",1997-09-29 00:00:00
복희누나, 2011년 11월 7일 ~ 2012년 5월 4일, 130부작, 텔레비전 드라마 · 소설, KBS 2TV, KBS 드라마 제작국, 이금림," 류태준, 장미인애, 김유리 (1984년), 최우석 (배우)
견미리, 김지영 (1938년), 이효정 (1961년), 최창엽",2011-11-07 00:00:00
일편단심민들레, 2014년 8월 25일 ~ 2015년 2월 27일, 134부작, 텔레비전 드라마 · 소설, 한국방송공사 KBS 2TV, KBS 드라마 제작국," 이해정, 염일호"," 김가은 (1989년 1월), 홍인영, 윤선우, 전승빈 외",2014-08-25 00:00:00
못잊어, 1997년 3월 3일 ~ 1997년 8월 2일, 131부작, 텔레비전 드라마, 문화방송, MBC 프로덕션, 최순식," 박지영 (1969년), 선우재덕, 이일화, 이윤수 외",1997-03-03 00:00:00
사랑은없다, 1994년 8월 24일 ~ 1994년 12월 14일, 33부작, 드라마, 서울방송, , 조희 ," 황신혜, 최명길 (배우) 외",1994-08-24 00:00:00
작은도시, 1992년 3월 16일 ~ 1992년 5월 5일, 16부작, 텔레비전 드라마, 서울방송, , 김항명 ," 김희라, 송옥숙, 홍성민, 윤철형 외",1992-03-16 00:00:00
같이살래요, 2018년 3월 17일 ~ 2018년 9월 9일, 50부작 + 스페셜 1부작," 드라마, 가족, 로맨스", KBS 2TV, 오성민 지앤지프로덕션, 박필주," 유동근, 장미희, 한지혜, 이상우 (배우) 외",2018-03-17 00:00:00
스무살, 2014년 1월 6일 ~ 2014년 1월 7일, 4부작, 로맨스, tvN, ," 김윤주 (작가), 이상희"," 이기광, 이다인, 강태오",2014-01-06 00:00:00
청춘기록, 2014년 1월 6일 ~ 2014년 1월 7일, 4부작, 로맨스, tvN, ," 김윤주 (작가), 이상희"," 이기광, 이다인, 강태오",2014-01-06 00:00:00
선물, 2002년 2월 27일 ~ 2002년 4월 25일, 18부작, 드라마, MBC, 김종학 프로덕션, 박후정," 송윤아
손지창
박정철
김지영 (1974년)",2002-02-27 00:00:00
서울탱고, 1998년 3월 2일 ~ 1998년 8월 14일, 119부작, 텔레비전 드라마, SBS TV,, 윤정건 ," 김무생, 박정수, 송재호, 이응경 외",1998-03-02 00:00:00
아줌마가간다, 2006년 11월 13일 ~ 2007년 5월 19일, 162부작, 드라마, KBS 제2TV, ," 문은아, 권도희"," 양정아, 이세창, 이필모 외",2006-11-13 00:00:00
분례기, 1992년 1월 20일 ~ 1992년 3월 10일, 16부작, 텔레비전 드라마, SBS, , 장구태," 신영진, 이동진, 윤여정, 윤문식 외",1992-01-20 00:00:00
"장화,홍련"," 2009년 4월 20일 ~ 2009년 10월 10일
2010년 1월 8일 ~ 2010년 4월 23일 (80회까지 재방송 이후 폐지)", 150부작," 텔레비전 드라마, 서스펜스", KBS 제2TV, , 윤영미," 윤해영 (배우), 김세아, 장현성, 최재원 (배우) 외",2009-04-20 00:00:00
가을에만난남자, 2001년 10월 17일 ~ 2001년 12월 20일, 20부작, 텔레비전 드라마, 문화방송, MBC C&I, 조명주," 박상원, 이승연, 이정길, 나문희 외",2001-10-17 00:00:00
